breakout_date,breakout_date_1,breakout_high,symbol,breakout_date_2,breakout_date_3
2020-12-29,2020-12-29,1.1112819910049438,1INCH-USD,2020-12-29,2020-12-29
2020-12-28,2020-12-29,1.2544469833374023,1INCH-USD,2020-12-28,2020-12-29
2020-12-27,2020-12-29,1.6307810544967651,1INCH-USD,2020-12-27,2020-12-29
2020-12-26,2020-12-29,2.4349160194396973,1INCH-USD,2020-12-26,2020-12-29
2021-01-03,2021-01-03,1.1347529888153076,1INCH-USD,2021-01-03,2021-01-03
2021-01-02,2021-01-03,1.1578550338745115,1INCH-USD,2021-01-02,2021-01-03
2021-01-01,2021-01-03,1.3896249532699585,1INCH-USD,2021-01-01,2021-01-03
2020-12-31,2021-01-03,1.3859399557113647,1INCH-USD,2020-12-31,2021-01-03
2021-01-14,2021-01-14,1.3957890272140503,1INCH-USD,2021-01-14,2021-01-14
2021-01-13,2021-01-14,1.3039129972457886,1INCH-USD,2021-01-13,2021-01-14
2021-01-12,2021-01-14,1.2020549774169922,1INCH-USD,2021-01-12,2021-01-14
2021-01-11,2021-01-14,1.2089780569076538,1INCH-USD,2021-01-11,2021-01-14
2021-01-21,2021-01-21,1.876613974571228,1INCH-USD,2021-01-21,2021-01-21
2021-01-20,2021-01-21,1.960662007331848,1INCH-USD,2021-01-20,2021-01-21
2021-01-19,2021-01-21,2.090567111968994,1INCH-USD,2021-01-19,2021-01-21
2021-01-18,2021-01-21,2.066309928894043,1INCH-USD,2021-01-18,2021-01-21
2021-01-25,2021-01-25,2.704353094100952,1INCH-USD,2021-01-25,2021-01-25
2021-01-24,2021-01-25,2.483419895172119,1INCH-USD,2021-01-24,2021-01-25
2021-01-23,2021-01-25,1.990242958068848,1INCH-USD,2021-01-23,2021-01-25
2021-01-22,2021-01-25,1.8473689556121824,1INCH-USD,2021-01-22,2021-01-25
2021-01-29,2021-01-29,3.457257032394409,1INCH-USD,2021-01-29,2021-01-29
2021-01-28,2021-01-29,3.3435099124908447,1INCH-USD,2021-01-28,2021-01-29
2021-01-27,2021-01-29,2.702423095703125,1INCH-USD,2021-01-27,2021-01-29
2021-01-26,2021-01-29,2.675813913345337,1INCH-USD,2021-01-26,2021-01-29
2021-04-24,2021-04-24,4.2841877937316895,1INCH-USD,2021-04-24,2021-04-24
2021-04-23,2021-04-24,4.690489768981934,1INCH-USD,2021-04-23,2021-04-24
2021-04-22,2021-04-24,5.324549198150635,1INCH-USD,2021-04-22,2021-04-24
2021-04-21,2021-04-24,5.278470039367676,1INCH-USD,2021-04-21,2021-04-24
2021-05-23,2021-05-23,2.884821891784668,1INCH-USD,2021-05-23,2021-05-23
2021-05-22,2021-05-23,3.152384042739868,1INCH-USD,2021-05-22,2021-05-23
