symbol,breakout_date,b_obv_-3,b_obv_-2,b_obv_-1,b_obv_+0,b_obv_+1,b_obv_+2,b_obv_+3,p_obv_-3,p_obv_-2,p_obv_-1,p_obv_+0,p_obv_+1,p_obv_+2
1INCH-USD,2020-12-29,-875878622.0,-1059856929.0,-940519400.0,-1078436299.0,-896054056.0,-715625445.0,-801345012.0,-875878622.0,-1059856929.0,-940519400.0,-1078436299.0,-896054056.0,-715625445.0
1INCH-USD,2021-01-03,-715625445.0,-801345012.0,-858670209.0,-779766955.0,-853866737.0,-763880369.0,-637968805.0,-715625445.0,-801345012.0,-858670209.0,-779766955.0,-853866737.0,-763880369.0
1INCH-USD,2021-01-14,-952964240.0,-1007266323.0,-941662704.0,-875824730.0,-758176349.0,-577543853.0,-313164963.0,-952964240.0,-1007266323.0,-941662704.0,-875824730.0,-758176349.0,-577543853.0
1INCH-USD,2021-01-21,-468393545.0,-330039339.0,-445814180.0,-552733953.0,-404837385.0,-255184706.0,-17175367.0,-468393545.0,-330039339.0,-445814180.0,-552733953.0,-404837385.0,-255184706.0
1INCH-USD,2021-01-25,-404837385.0,-255184706.0,-17175367.0,-315572808.0,-57650544.0,-321615472.0,60419805.0,-404837385.0,-255184706.0,-17175367.0,-315572808.0,-57650544.0,-321615472.0
1INCH-USD,2021-01-29,-57650544.0,-321615472.0,60419805.0,393614336.0,1100287615.0,2071981426.0,2749810514.0,-57650544.0,-321615472.0,60419805.0,393614336.0,1100287615.0,2071981426.0
1INCH-USD,2021-04-24,3013694902.0,2822129301.0,2588079818.0,2489323206.0,2562169011.0,2674130969.0,2853003779.0,3013694902.0,2822129301.0,2588079818.0,2489323206.0,2562169011.0,2674130969.0
1INCH-USD,2021-05-23,3200473328.0,3019678580.0,2890504180.0,2718582978.0,2879963987.0,2752834202.0,2924860234.0,3200473328.0,3019678580.0,2890504180.0,2718582978.0,2879963987.0,2752834202.0
1INCH-USD,2021-06-12,3086968921.0,2979647515.0,2903802654.0,2829542178.0,2915360205.0,3000031282.0,3191025131.0,3086968921.0,2979647515.0,2903802654.0,2829542178.0,2915360205.0,3000031282.0
1INCH-USD,2021-10-24,10535140424.0,10027127554.0,10477394012.0,10036810394.0,10194982832.0,10042279336.0,14024223466.0,10535140424.0,10027127554.0,10477394012.0,10036810394.0,10194982832.0,10042279336.0
ACH-USD,2020-11-08,-6308066.0,-3977664.0,-6562787.0,-4923534.0,-2883707.0,-934447.0,5583132.0,-6308066.0,-3977664.0,-6562787.0,-4923534.0,-2883707.0,-934447.0
ACH-USD,2020-12-04,-4649334.0,-6723588.0,-8051038.0,-9476970.0,-8137282.0,-9734062.0,-8596964.0,-4649334.0,-6723588.0,-8051038.0,-9476970.0,-8137282.0,-9734062.0
ACH-USD,2021-01-15,-27713025.0,-26830758.0,-27854599.0,-27010133.0,-26189776.0,-25073758.0,-21249680.0,-27713025.0,-26830758.0,-27854599.0,-27010133.0,-26189776.0,-25073758.0
ACH-USD,2021-01-25,-25822554.0,-24816165.0,-25692187.0,-23379494.0,-22436424.0,-20026040.0,-14137501.0,-25822554.0,-24816165.0,-25692187.0,-23379494.0,-22436424.0,-20026040.0
ACH-USD,2021-02-09,-6440156.0,-5661429.0,-8326670.0,-4900367.0,-7494470.0,-5221095.0,2531536.0,-6440156.0,-5661429.0,-8326670.0,-4900367.0,-7494470.0,-5221095.0
ACH-USD,2021-03-10,-4063714.0,-2770295.0,-4442156.0,-2160475.0,-452474.0,1332669.0,9892906.0,-4063714.0,-2770295.0,-4442156.0,-2160475.0,-452474.0,1332669.0
ACH-USD,2021-03-26,13908316.0,10821819.0,7336270.0,9640887.0,12021891.0,14073066.0,19952076.0,13908316.0,10821819.0,7336270.0,9640887.0,12021891.0,14073066.0
ACH-USD,2021-05-07,11586947.0,15363453.0,12344935.0,15881004.0,20010606.0,17345830.0,73342479.0,11586947.0,15363453.0,12344935.0,15881004.0,20010606.0,17345830.0
ACH-USD,2021-06-22,-4153208.0,-6163986.0,-7876429.0,-9302732.0,-8719590.0,-8150211.0,-1896400.0,-4153208.0,-6163986.0,-7876429.0,-9302732.0,-8719590.0,-8150211.0
ACH-USD,2021-07-25,-2526581.0,-3147500.0,-2427807.0,-1122092.0,212430.0,1274450.0,9708552.0,-2526581.0,-3147500.0,-2427807.0,-1122092.0,212430.0,1274450.0
ACH-USD,2021-07-30,1274450.0,9708552.0,71587827.0,62190091.0,88945990.0,72447177.0,139577703.0,1274450.0,9708552.0,71587827.0,62190091.0,88945990.0,72447177.0
ACH-USD,2021-08-03,88945990.0,72447177.0,139577703.0,339374657.0,552414109.0,853290675.0,1667925981.0,88945990.0,72447177.0,139577703.0,339374657.0,552414109.0,853290675.0
ACH-USD,2021-08-19,200136398.0,73493356.0,305938735.0,141813271.0,322629477.0,600319636.0,919580152.0,200136398.0,73493356.0,305938735.0,141813271.0,322629477.0,600319636.0
