symbol,breakout_date,peak_date,b_vtp_-3,b_vtp_-2,b_vtp_-1,b_vtp_+0,b_vtp_+1,b_vtp_+2,b_vtp_+3,p_vtp_-3,p_vtp_-2,p_vtp_-1,p_vtp_+0,p_vtp_+1,p_vtp_+2
1INCH-USD,2021-10-24,2021-10-27,1165107104.4558575,1150938166.8731084,1151464042.7713892,1128337233.4152017,1138070919.31898,1134567871.7894588,2870055921.63279,1128337233.4152017,1138070919.31898,1134567871.7894588,2870055921.63279,2776169286.5316887,2766354855.573531
ACH-USD,2021-08-19,2021-08-23,1752636075.9173572,1739942250.2280838,1777878623.761964,1774917114.1687958,1798630111.651074,1840350277.3202267,1874536892.253498,1798630111.651074,1840350277.3202267,1874536892.253498,1950118608.7459276,1889245807.9075003,1900782005.528937
ACH-USD,2021-10-31,2021-11-08,1888856070.9484005,1893173114.819819,1888991796.7770326,1927538396.236439,1934964735.191059,1934928470.3727171,1998793690.8214018,1977462020.0014055,1982232697.9194,1979606430.5395684,1996638835.1378198,1990214104.403964,1987212084.849699
ACH-USD,2022-01-07,2022-01-10,1980640173.6231937,1985551040.3527067,1982383213.9022033,1981587419.0927715,1981925721.452404,1983466586.480968,2085804897.5668542,1981587419.0927715,1981925721.452404,1983466586.480968,2085804897.5668542,2045250364.4343038,2037678841.5336082
ACH-USD,2022-02-06,2022-02-09,2020417712.7673137,2022371129.1861122,2022329588.1823335,2022082731.574156,2024857318.3721225,2039784469.97951,2070265315.561626,2022082731.574156,2024857318.3721225,2039784469.97951,2070265315.561626,2058871891.2882428,2056100744.2104802
ACH-USD,2022-07-16,2022-07-19,2081388105.1369522,2081595776.8069243,2081825323.543522,2082349120.006908,2081978754.5431237,2082630352.7539763,2137759767.3846953,2082349120.006908,2081978754.5431237,2082630352.7539763,2137759767.3846953,2128006114.127262,2124070786.6537347
ACH-USD,2023-01-27,2023-02-05,2247057204.037348,2250421794.371647,2249869055.059895,2249962347.128368,2249948282.6465783,2251398236.39892,2280417505.7757006,2271571040.5627604,2277658094.964643,2283231630.028013,2297331674.5150094,2294329692.529566,2295432646.38395
ACH-USD,2023-02-14,2023-02-22,2291342826.9905977,2290912781.340588,2290773394.020873,2291021491.1440825,2295159789.3896937,2323877145.2501593,2337479048.7090964,2398564869.955339,2634295930.0103235,2626494122.7044106,2656619808.19867,2656350166.149526,2635230760.110219
ACH-USD,2023-03-10,2023-03-19,2623227098.5394654,2613188298.825574,2614481979.492194,2614281373.6977124,2612917437.109657,2621037145.874055,2660516185.8788652,2662271733.347341,2682833384.730416,2673914738.6306663,2686110937.6265683,2676414332.044228,2679186978.8298464
ACH-USD,2024-03-11,2024-03-14,2788393791.1247087,2788874384.675954,2789041964.9656024,2791530626.4408674,2801485368.094051,2801214327.404284,2831551081.7419424,2791530626.4408674,2801485368.094051,2801214327.404284,2831551081.7419424,2823316590.9222913,2810983438.540937
ACH-USD,2025-01-24,2025-02-01,2856619847.1728,2856295861.032496,2856475947.619699,2856043754.541723,2855956681.3116198,2861400748.6730356,3492741493.7783694,3529541109.6481495,3613463131.6791806,3620865226.536031,3681506060.068895,3617122953.0268245,3643081405.6215525
ACH-USD,2025-02-15,2025-02-20,3584058051.6604395,3581546161.9047613,3581668069.4369884,3580227393.1836486,3594810192.171893,3614700470.815101,3707706708.721773,3614700470.815101,3707706708.721773,3697424398.541803,3717889811.523428,3707619707.7533903,3705843283.580388
