symbol,breakout_date,b_vtp_-3,b_vtp_-2,b_vtp_-1,b_vtp_+0,b_vtp_+1,b_vtp_+2,b_vtp_+3,p_vtp_-3,p_vtp_-2,p_vtp_-1,p_vtp_+0,p_vtp_+1,p_vtp_+2
1INCH-USD,2020-12-29,251312204.1673045,237113496.7809058,213548121.2825711,202966128.17678782,196476074.56972012,184733756.5466144,164635229.29046437,251312204.1673045,237113496.7809058,213548121.2825711,202966128.17678782,196476074.56972012,184733756.5466144
1INCH-USD,2021-01-03,184733756.5466144,164635229.29046437,144835241.21004626,131611486.15630336,120746270.02935041,111853044.83183189,106642531.70975557,184733756.5466144,164635229.29046437,144835241.21004626,131611486.15630336,120746270.02935041,111853044.83183189
1INCH-USD,2021-01-14,85570357.4102017,78805729.29407665,73852485.80434124,69392687.24929628,72624972.31459063,79369657.89449412,88627086.71552402,85570357.4102017,78805729.29407665,73852485.80434124,69392687.24929628,72624972.31459063,79369657.89449412
1INCH-USD,2021-01-21,87543886.76204944,84757763.5590164,80690747.37186204,78428390.193562,79382904.59198904,79033507.36038384,82138835.75026992,87543886.76204944,84757763.5590164,80690747.37186204,78428390.193562,79382904.59198904,79033507.36038384
1INCH-USD,2021-01-25,79382904.59198904,79033507.36038384,82138835.75026992,90135879.74424344,91289675.31270844,93738493.7717292,98931945.48033395,79382904.59198904,79033507.36038384,82138835.75026992,90135879.74424344,91289675.31270844,93738493.7717292
1INCH-USD,2021-01-29,91289675.31270844,93738493.7717292,98931945.48033395,98964436.1693698,108915749.35447589,124811062.93965456,126685945.05948365,91289675.31270844,93738493.7717292,98931945.48033395,98964436.1693698,108915749.35447589,124811062.93965456
1INCH-USD,2021-04-24,38391583.241488524,38981680.4042056,41840209.94408857,38785584.94754647,35058515.0948725,33164496.456897266,33469341.852381267,38391583.241488524,38981680.4042056,41840209.94408857,38785584.94754647,35058515.0948725,33164496.456897266
1INCH-USD,2021-05-23,57440308.94939888,57563198.974200726,55723258.9620505,58869005.27184589,58153955.52235657,55563540.15663402,54629853.03038159,57440308.94939888,57563198.974200726,55723258.9620505,58869005.27184589,58153955.52235657,55563540.15663402
1INCH-USD,2021-06-12,43087351.58068381,41710458.577306636,39162943.59819711,36986965.727759264,35448800.3792838,34119404.80704863,37454380.54439152,43087351.58068381,41710458.577306636,39162943.59819711,36986965.727759264,35448800.3792838,34119404.80704863
1INCH-USD,2021-10-24,128434289.46564788,128078414.45764773,125149506.51975036,123418902.6335814,108089256.42428048,95462145.06821916,205695312.60320282,128434289.46564788,128078414.45764773,125149506.51975036,123418902.6335814,108089256.42428048,95462145.06821916
ACH-USD,2020-11-08,390393600.7098478,374475901.99620074,371588757.3611723,344877767.39075553,330326138.3587037,315832654.97097987,381680603.0162487,390393600.7098478,374475901.99620074,371588757.3611723,344877767.39075553,330326138.3587037,315832654.97097987
ACH-USD,2020-12-04,396634500.0840876,404151120.064046,382152578.10823655,368994507.9325734,353576136.29599386,350955589.1674465,321397485.9697711,396634500.0840876,404151120.064046,382152578.10823655,368994507.9325734,353576136.29599386,350955589.1674465
ACH-USD,2021-01-15,334958233.6263713,323982718.83559054,325145470.89221716,313725928.54147094,302963415.2596534,303471585.0225662,405528512.2369336,334958233.6263713,323982718.83559054,325145470.89221716,313725928.54147094,302963415.2596534,303471585.0225662
ACH-USD,2021-01-25,390257327.4522261,371269588.4321251,349079462.9593639,389460716.7733357,360157126.3454021,390950729.7080002,501426089.4598168,390257327.4522261,371269588.4321251,349079462.9593639,389460716.7733357,360157126.3454021,390950729.7080002
ACH-USD,2021-02-09,488993778.90290403,421745100.624287,419950475.4764757,429015313.1394702,418075675.0165436,396743872.05745566,461619631.3495517,488993778.90290403,421745100.624287,419950475.4764757,429015313.1394702,418075675.0165436,396743872.05745566
ACH-USD,2021-03-10,319596727.35005766,296985151.26989746,289184619.42200917,298616222.4483125,290617182.40563804,284579635.0993333,392191501.1494142,319596727.35005766,296985151.26989746,289184619.42200917,298616222.4483125,290617182.40563804,284579635.0993333
