feature,built_in,permutation
ema_pct__b_ema5_pct_+3,0.43700278,1.4155897634378902
vty_ratio__b_ratio_+0,0.039871566,0.009033822218503929
vol_vs__p_vs_+0,0.035357047,0.012346128917106602
stochrsi__b_stochrsi_+0,0.030872151,0.010736924977326123
ema_pct__b_ema10_pct_+3,0.021278398,0.06857791627065474
vty_ratio__b_ratio_+1,0.021181287,0.01591872688281859
ema_pct__b_ema5_pct_+0,0.021099076,0.17489346070641934
ema_pct__b_ema5_pct_+2,0.020225437,0.04802542602244032
atr__p_atr_-1,0.020116713,-2.6436401414475785e-05
rng__b_rng_+0,0.018911961,-0.0007650730024418295
std__b_std_pct_+3,0.013424425,0.00488518030059254
ema_pct__b_ema50_pct_+3,0.012558916,0.003690461542703594
rsi__rsi_b_+0,0.011069409,-8.324711787366379e-05
ema_pct__b_ema10_pct_+0,0.011043704,0.016398957154814497
ema_pct__p_ema5_pct_+1,0.009531049,0.014088097287518874
rng__p_rng_-2,0.009066434,0.0005238705231858098
ema_pct__p_ema10_pct_+0,0.008488196,0.0014167410635464671
std__p_std_pct_+3,0.007811099,-8.696226521009987e-06
rsi__rsi_b_+1,0.007405944,-0.0006538576236929994
stochrsi__b_stochrsi_+2,0.0072621666,0.002410669144297506
atr__b_atr_+3,0.007142464,0.0007449763383238439
ema_pct__p_ema5_pct_-3,0.0067631234,0.0009177650706282403
vty_ratio__p_ratio_-2,0.0065780436,-0.0006019250792540842
vty_ratio__b_ratio_-3,0.005933608,0.0005062457501736172
macd_slope__p_macd_slope_-2,0.0057912217,-0.0013615323434996163
std__b_std_pct_-1,0.005759747,0.00031322729585701035
rvol__b_rvol_+3,0.0054909624,0.013378503834414157
ema_pct__p_ema10_pct_-1,0.0053793346,0.0007029810185809393
stochrsi__p_stochrsi_-3,0.005118613,0.0002980907561949131
vol_vtp__b_vtp_+0,0.004949026,-1.488193994726439e-05
ema_pct__p_ema50_pct_-1,0.0049332925,0.00020601303703626783
ema_pct__b_ema5_pct_+1,0.004846636,0.010752159966556952
vol_vtp__b_vtp_-2,0.004664266,-8.977023788137029e-06
ema_pct__b_ema10_pct_+1,0.0045765643,0.0004597513130528474
ema_pct__b_ema100_pct_+2,0.0044670785,6.097603335594171e-05
stochrsi__b_stochrsi_-3,0.004162257,-0.0008037104552013674
ema_pct__b_ema50_pct_-3,0.004121589,-7.602595684574886e-06
ema_pct__p_ema50_pct_+0,0.004087567,-5.578251745691487e-05
rng__p_rng_-3,0.0038347577,-0.0005479483198644996
macd_slope__b_macd_slope_+2,0.0035210643,-7.877661402588831e-06
rvol__p_rvol_-2,0.0032784052,0.0015168452146364642
ema_pct__b_ema10_pct_+2,0.0031565926,0.0017896149409907692
rvol__b_rvol_+0,0.0030803115,8.140636703243275e-05
vty_ratio__b_ratio_-2,0.003000248,2.7877004769683022e-05
std__p_std_pct_+1,0.002946767,0.0001586915256230892
vol_vtp__p_vtp_-2,0.0028866217,9.417472368553615e-05
stochrsi__b_stochrsi_+1,0.002835239,0.0012124513159865956
ema_pct__p_ema5_pct_-2,0.0026895443,-0.003556345402851213
macd__p_macd_signal_+0,0.0024941685,3.6048425778123504e-05
vol_vs__b_vs_+0,0.0024064707,0.0005243249519049975
rng__b_rng_+2,0.0023265148,-0.0002194847518927956
adx__p_adx_+2,0.002322288,-0.00039499873425175025
macd__p_macd_+0,0.0021999846,-0.00016836529166919245
macd__p_macd_+1,0.0021903322,0.0008907843761015832
adx__b_adx_+1,0.0021429474,-0.0004398374725212206
rvol__b_rvol_+2,0.0021187584,0.0003403189892615344
rng__b_rng_-1,0.0020688393,-8.599860419844507e-06
bbw__b_bbw_+3,0.0020479078,0.003813864693503455
bbw__b_bbw_+2,0.002033339,0.0003847793374348596
ema_pct__p_ema5_pct_+0,0.0018906035,-0.0009564331766707568
ema_pct__p_ema100_pct_+1,0.0018651128,-2.3114717337335832e-05
ema_pct__b_ema5_pct_-1,0.0018547743,-0.0014483798773695876
rvol__p_rvol_+1,0.0017417767,-0.00021840489787221528
ema_pct__p_ema5_pct_+2,0.0017146542,-0.0005223247703971424
vol_vs__b_vs_+3,0.0016344626,0.00016083923250499456
rsi__rsi_p_+0,0.0016292447,0.0006085803041532056
stochrsi__p_stochrsi_+1,0.0015993286,0.00017768118664308609
rvol__p_rvol_+0,0.0015931282,0.0001512090956797163
macd__p_macd_signal_-3,0.0015629733,0.00021734357648562909
rvol__b_rvol_-3,0.0015200622,-0.0008935588708011921
rvol__b_rvol_-2,0.0014846101,-0.00039558588202273095
bbw__p_bbw_+2,0.001374755,0.0007731632798091192
vol_vs__b_vs_-1,0.0013479209,0.000525003227010179
adx__p_adx_-2,0.0012035179,-0.00039124959756955404
ema_pct__p_ema5_pct_-1,0.0011926066,0.0002942390737494582
macd__b_macd_+3,0.0011304327,2.2856075122523744e-05
ema_pct__b_ema100_pct_-1,0.0011186424,7.715957050453692e-05
rsi__rsi_p_+1,0.0010918404,0.00020137811874271216
rsi__rsi_b_-1,0.001076094,-0.0005519684858527829
ema_pct__p_ema10_pct_+1,0.0010246406,0.0003371632083864928
obv__p_obv_-2,0.001024564,0.00013738559350822132
adx__p_adx_+0,0.0009910878,-0.0002961222370499117
rsi__rsi_b_-3,0.00096776366,-4.098700339538741e-05
vol_vs__p_vs_+2,0.0009620891,-9.492004919923192e-05
stochrsi__p_stochrsi_+2,0.00095237436,0.0003142377557559084
macd_slope__p_macd_slope_+0,0.0009135008,0.0001191773754431913
macd__p_macd_signal_-1,0.0008946268,-6.420634324300067e-05
ema_pct__b_ema10_pct_-2,0.0008890469,3.1648406894058126e-05
vty_ratio__p_ratio_-1,0.0008794164,0.0003126348367671339
rng__b_rng_-3,0.000876891,0.00016065480174258794
ema_pct__p_ema200_pct_+1,0.0008735477,-4.8497660117785554e-05
bbw__p_bbw_-2,0.0008627423,0.00026815059151791276
ema_pct__p_ema50_pct_-2,0.0008546211,1.3703385816832281e-05
macd_slope__b_macd_slope_-1,0.0008543271,0.00020432308205143858
ema_pct__b_ema200_pct_-1,0.0008501724,0.000454198305207687
ema_pct__b_ema100_pct_-2,0.00084444403,0.00026155649151970994
rvol__p_rvol_+2,0.00083808316,-0.0008701240083182959
rvol__p_rvol_-1,0.00083507784,0.00014768820159166696
rsi__rsi_p_+2,0.000833833,0.0002894585993357568
ema_pct__b_ema10_pct_-1,0.000833176,0.0002700430754166816
vol_vtp__p_vtp_+2,0.000826662,7.066365077377235e-05
ema_pct__b_ema5_pct_-2,0.0008257373,-1.9084115936163216e-05
ema_pct__p_ema200_pct_-2,0.0008172919,-0.0003282385715459468
macd__p_macd_+2,0.00080157927,3.00441244072136e-06
ema_pct__b_ema100_pct_+3,0.0007967574,5.9019098984669506e-05
rng__b_rng_+3,0.00077766,0.0003479386392223671
macd_slope__b_macd_slope_+0,0.0007637068,0.00033475063997563393
rvol__p_rvol_-3,0.0007390959,5.058506672575014e-05
adx__b_adx_-3,0.00072854926,0.0007647327051021003
bbw__b_bbw_+1,0.000713625,-0.00012621687675254956
vty_ratio__b_ratio_+3,0.00070501264,0.00046275480375241874
adx__b_adx_+3,0.0006890325,0.00011637953531526968
atr__b_atr_-3,0.00064967835,0.00016984532597706935
adx__b_adx_+0,0.00064301,-2.577472266100944e-05
rsi__rsi_p_-1,0.00064059714,2.1896019528189204e-05
ema_pct__b_ema50_pct_-2,0.00063533173,-1.4353566225677739e-05
ema_pct__p_ema50_pct_+2,0.00062286993,-0.00014274491778972775
rng__p_rng_-1,0.0006056419,-0.000259901408131491
vty_ratio__p_ratio_+2,0.00059926626,-0.0004747478918815107
std__p_std_pct_+0,0.00059738074,1.3072263465507828e-05
vol_vs__b_vs_-3,0.000590965,0.00010686304301742444
ema_pct__b_ema50_pct_-1,0.00057527254,5.8327593458540325e-05
vty_ratio__p_ratio_-3,0.00056667184,2.1833367909618318e-05
vty_ratio__b_ratio_+2,0.0005583749,-0.0008807066131742203
vol_vs__b_vs_+2,0.0005398574,0.0006196466288056035
vty_ratio__p_ratio_+1,0.0005326575,9.779643541827366e-05
rng__p_rng_+1,0.0005049086,-6.854861724649996e-05
ema_pct__b_ema100_pct_+0,0.0005032988,0.00010247661721117796
adx__b_adx_-2,0.0004748721,-0.00016297465127813605
ema_pct__b_ema10_pct_-3,0.0004719168,0.00044095527288771084
rsi__rsi_b_-2,0.0004664913,-0.0002310158676008256
vol_vs__p_vs_-2,0.00045761938,-0.00014237971248259873
obv__b_obv_+1,0.0004514082,-8.025057353733267e-05
vol_vs__b_vs_+1,0.00044634735,0.00023059875165696298
ema_pct__b_ema200_pct_+3,0.00044020265,0.00030531395174528966
macd_slope__b_macd_slope_+3,0.0004369453,-3.3455944020321926e-05
stochrsi__b_stochrsi_-2,0.00043332833,0.00020806777681765533
macd__p_macd_-1,0.0004270637,1.0652962653034947e-05
ema_pct__b_ema5_pct_-3,0.0003892954,0.0009406782755459031
vol_vs__p_vs_+1,0.00036750195,0.00020514081798539419
macd__b_macd_signal_+0,0.00036655416,-8.973214178301659e-05
ema_pct__p_ema200_pct_+2,0.0003615945,-0.00024136083505880146
macd__b_macd_signal_-3,0.00034171354,0.0004306991996191778
vol_vtp__b_vtp_-3,0.0003333253,-4.919900528613796e-05
macd_slope__p_macd_slope_+2,0.00032789263,7.289875744738161e-05
macd_slope__p_macd_slope_+1,0.00030494077,4.397015189659959e-05
rvol__b_rvol_+1,0.0003044998,6.570933598857299e-05
ema_pct__p_ema100_pct_-3,0.00029962862,-3.0063464935825567e-05
bbw__p_bbw_-3,0.0002825218,-4.507527939537903e-05
rsi__rsi_b_+3,0.00028158084,0.00024155997465981073
ema_pct__p_ema50_pct_-3,0.00027059548,1.5685750995719784e-05
macd_slope__p_macd_slope_-1,0.00027016582,2.3091998236790533e-05
macd__p_macd_signal_-2,0.00026809372,-1.8893284800391986e-05
ema_pct__p_ema100_pct_-1,0.00024212751,6.250483577271426e-05
ema_pct__b_ema100_pct_+1,0.0002410404,8.012354641192542e-05
std__p_std_pct_-1,0.00023721751,-2.910936249665985e-05
ema_pct__p_ema10_pct_+2,0.00023718011,-0.00010157517240791947
ema_pct__p_ema10_pct_-3,0.00023193395,-0.00012155706668925959
std__p_std_pct_-3,0.00022575923,1.4176868128257247e-05
adx__b_adx_+2,0.00022565555,7.760835847320235e-05
rng__b_rng_-2,0.00021440891,0.0002126069382127893
macd_slope__b_macd_slope_-2,0.00021320909,4.6250238924350205e-06
atr__b_atr_+1,0.0002059307,-0.00021554384610084076
bbw__p_bbw_+1,0.00019447973,6.305232719494569e-06
bbw__b_bbw_+0,0.00019181769,-1.7842081814212207e-06
rvol__b_rvol_-1,0.00018880787,-0.00012798683251442623
ema_pct__p_ema200_pct_+0,0.00018695137,3.970358777971583e-07
ema_pct__b_ema200_pct_+1,0.00018241245,-4.037933458618248e-05
obv__b_obv_-3,0.00018034475,-0.0005983986346865921
macd_slope__b_macd_slope_+1,0.00017621559,-9.780448459307811e-05
obv__b_obv_-2,0.00017474368,-5.215778873032262e-05
vty_ratio__p_ratio_+0,0.00017095769,-8.783035068224976e-05
vol_vs__p_vs_-3,0.00016080221,2.9980888176839304e-05
adx__p_adx_-1,0.0001605542,-0.0001927727852298222
macd__b_macd_signal_-2,0.00015772753,9.291117115162172e-06
adx__p_adx_-3,0.00015648406,2.5663344119308818e-05
vty_ratio__b_ratio_-1,0.0001487284,-0.00034583418636762174
rsi__rsi_p_-3,0.00014743178,-2.03903800398364e-05
bbw__b_bbw_-2,0.00014726071,1.3135811973907785e-05
std__p_std_pct_+2,0.00013936104,-6.063113279287657e-05
obv__p_obv_-3,0.00013082477,8.064918637773477e-06
rng__p_rng_+2,0.00012783114,-0.00012352706075590135
stochrsi__p_stochrsi_+0,0.00012729547,2.5034706157656127e-05
rsi__rsi_p_-2,0.00012673294,-0.00023144153917290523
obv__b_obv_+3,0.00012584211,-4.710012745154923e-05
ema_pct__p_ema10_pct_-2,0.0001256321,-9.098635237936303e-05
std__b_std_pct_+2,0.00012560688,-4.010558930448438e-05
stochrsi__b_stochrsi_+3,0.0001213727,0.00015945914743586975
macd_slope__b_macd_slope_-3,0.00011943052,7.136473290636491e-05
obv__p_obv_+0,0.00011652277,4.019270470301261e-06
macd__p_macd_signal_+1,0.000112772424,-1.1489163045474982e-05
std__b_std_pct_-3,0.00011232248,-5.862412526479455e-05
stochrsi__b_stochrsi_-1,0.000110612586,6.077303310848547e-05
macd_slope__p_macd_slope_-3,0.000110049274,0.00010036346983046673
macd__b_macd_+2,0.000107673965,-2.9578473488500735e-06
