symbol,breakout_date,market_level,macd_d0,macd_d1,macd_d2,macd_d3,macd_signal_d0,macd_signal_d1,macd_signal_d2,macd_signal_d3
1INCH-USD,2021-10-24,4.0,0.2767131920167496,0.2865635677015823,0.2734757325152444,0.2532707084806325,0.2073266812775145,0.1899800535927057,0.1658341750654866,0.1389237857030471
1INCH-USD,2021-10-24,7.0,0.2767131920167496,0.2865635677015823,0.2734757325152444,0.2532707084806325,0.2073266812775145,0.1899800535927057,0.1658341750654866,0.1389237857030471
1INCH-USD,2021-10-24,8.0,0.2767131920167496,0.2865635677015823,0.2734757325152444,0.2532707084806325,0.2073266812775145,0.1899800535927057,0.1658341750654866,0.1389237857030471
1INCH-USD,2021-10-24,7.0,0.2767131920167496,0.2865635677015823,0.2734757325152444,0.2532707084806325,0.2073266812775145,0.1899800535927057,0.1658341750654866,0.1389237857030471
A-USD,2020-07-24,9.0,-0.0005525654811737,-0.0003519794432152,-0.0005214280918488,-0.0005989800029079,-0.0007056620504133,-0.0007439361927231,-0.0008419253801001,-0.000922049702163
A-USD,2020-07-24,8.0,-0.0005525654811737,-0.0003519794432152,-0.0005214280918488,-0.0005989800029079,-0.0007056620504133,-0.0007439361927231,-0.0008419253801001,-0.000922049702163
A-USD,2020-07-24,7.0,-0.0005525654811737,-0.0003519794432152,-0.0005214280918488,-0.0005989800029079,-0.0007056620504133,-0.0007439361927231,-0.0008419253801001,-0.000922049702163
A-USD,2020-07-24,7.0,-0.0005525654811737,-0.0003519794432152,-0.0005214280918488,-0.0005989800029079,-0.0007056620504133,-0.0007439361927231,-0.0008419253801001,-0.000922049702163
A-USD,2020-08-02,,-0.0013034062340773,-0.0011752038288109,-0.0010708407156414,-0.000895484986198,-0.0008847966449104,-0.0007801442476187,-0.0006813793523206,-0.0005840140114904
A-USD,2020-08-20,6.0,-0.0009094870876486,-0.0009466747860177,-0.000970595448103,-0.0010562455286697,-0.0010791181350373,-0.0011215258968845,-0.0011652386746011,-0.0012138994812257
A-USD,2020-08-20,5.0,-0.0009094870876486,-0.0009466747860177,-0.000970595448103,-0.0010562455286697,-0.0010791181350373,-0.0011215258968845,-0.0011652386746011,-0.0012138994812257
A-USD,2020-08-20,4.0,-0.0009094870876486,-0.0009466747860177,-0.000970595448103,-0.0010562455286697,-0.0010791181350373,-0.0011215258968845,-0.0011652386746011,-0.0012138994812257
