time,open,high,low,close,volume
1577836800,41487594309.12436,42409171483.22606,41185804415.94193,41762077904.42812,33205077064.593582
1577923200,41678336716.59505,42001537278.69755,39788051184.53107,40343572070.890434,36349741080.59842
1578009600,40323082804.59063,43350316308.21339,39547485147.66922,42474505935.33743,47915998468.043205
1578096000,42564721740.352585,43452861586.19115,41824552437.80115,42880964979.51907,34523227489.76416
1578182400,42981222226.66471,44254656315.21096,42391187273.35666,43198843401.855286,37999685771.63789
1578268800,43729961328.35207,47814238237.43315,43356242833.29097,46977081691.86202,46741492054.03666
1578355200,47034384824.87562,48770221882.882805,44344425301.52236,46632875990.65228,50363127879.60917
1578441600,46505470873.51982,48417843271.860085,43972837896.37684,45656098330.1868,52653707404.72683
1578528000,45785122499.40253,46606573710.28543,44141010511.2587,45255455029.869,42072998567.436005
1578614400,45442638741.3725,49460297127.10781,44170623154.709206,48567606592.78848,53582805838.3647
1578700800,48408723085.10132,50594246392.54629,46838697686.72444,47903414200.36006,49669765736.05689
1578787200,47876863682.45928,49922024458.63417,47228235371.1788,49210563500.2655,45240008660.7339
1578873600,49186630937.80497,49819051973.19959,47597155465.2327,48728962989.32004,42454956834.75037
1578960000,48801190287.56107,61753185702.63799,47923851570.73694,59072663444.969696,96006507477.79398
1579046400,59021760148.75284,62940828360.92085,53992452133.9104,58351914864.223526,86473255282.3247
1579132800,58336131145.3837,60111871229.67213,54445151131.90184,57738055574.12914,70218269182.64175
1579219200,57853269129.8965,63109420608.777824,55665988869.63739,59576147972.49123,83089894266.54361
1579305600,61263522100.7839,63984325892.359375,57642396809.46561,59627532725.48834,75905308360.28156
1579392000,61038674184.12413,65798178262.20709,54631427882.76369,57993172887.706726,71177210719.28284
1579478400,58157954574.81097,60264116138.10784,55469188127.05305,58473128668.523705,56946818858.70046
1579564800,58551520356.14926,60891909215.00286,56948939291.81594,59496610998.10719,52211118318.32764
1579651200,59789430732.63023,61228560965.617966,57811813425.56073,59263554570.010185,49085478892.49448
1579737600,59595981944.71183,60112804607.60075,54141107391.12453,55906238069.30739,55194429506.8779
1579824000,56055668527.28375,58010795553.16708,53168197262.37727,56172886941.62663,56141714141.95824
1579910400,56095291932.42629,56821968048.68033,54075751894.2656,55393632523.34613,43576166167.46655
1579996800,55469443929.77977,58754410367.31056,54760602877.43854,57997943078.82368,49511437015.02306
1580083200,58312344418.05517,62200478529.558174,56985877769.31154,59894613107.743454,64712215347.724754
1580169600,59974351137.17202,63917804387.83164,58399103269.37631,61776524705.13915,72337137041.77888
1580256000,61763452074.63575,64012620936.7614,60039518215.68942,61603695927.54992,71048663530.81036
1580342400,61395125980.54489,65454597426.19531,60008055194.22313,63962380327.905365,74849868151.83553
1580428800,64138116933.0103,65321325919.91526,60102893854.88704,62110340716.00055,68420575621.826
1580515200,62493953453.06516,64721590749.519424,61542794461.12964,63354128035.805336,60062500193.68548
1580601600,63515583508.10913,66551862072.587234,61322680362.26639,64241191792.65892,67150284300.70195
1580688000,63920794824.07019,67040834357.3129,62224567775.56464,64528167642.292496,65656110215.85696
1580774400,64524504839.97128,66968988729.59163,61884794006.97719,64906808447.03166,62574538045.86131
1580860800,64894902834.9408,71324450231.4146,63807852856.86877,69130436633.58354,78634494064.08247
1580947200,69213043203.28186,72382060616.66522,66516670013.39941,70180028948.70718,79662333428.64667
1581033600,70373186869.03934,73157558913.4456,68560264784.89039,70678286545.4601,73207119056.73427
1581120000,70634695958.31671,76074419928.796,67588279929.217926,72606366144.90642,76257542110.54568
1581206400,72103400946.52531,76058095264.59785,70765906228.03416,74304522711.21098,77223529234.22246
1581292800,75355053193.17871,77954201107.88287,71047390251.93785,74330822346.78337,83472490721.447
1581379200,74365586462.54735,79830116116.31984,71626961743.13904,77857668398.72656,78599709529.52722
1581465600,76396199279.05522,81897225894.09784,75538677522.95761,79398111514.70148,92308108432.42767
1581552000,79545550719.83524,83994066021.80687,75248519588.48346,79920444783.3038,107114661350.86755
1581638400,79953154664.48763,84047404115.23723,77427619371.64586,82522339948.48483,91102279943.77202
1581724800,82557553618.26373,84397578795.41895,72588083648.51552,75515067446.8216,96483581848.89104
1581811200,75547731027.87357,78554019146.43887,66600102888.08743,72453357667.44968,101848006024.17252
1581897600,72483760698.76944,74791902567.48416,65663986876.373375,72057773546.20944,103946152862.29356
1581984000,72157474217.90955,77417641963.97034,69181120685.70535,74976555069.92772,96650596186.28572
1582070400,74826147212.73796,77334350393.87741,66707175249.08597,69511558996.28104,88105462397.14961
1582156800,69473338849.34552,72121157518.93768,66161592890.54852,69266314178.9056,94635699241.2086
1582243200,69218578249.57407,72241099920.51244,68047148778.3625,70065931009.49893,79405757884.10213
1582329600,70222349110.38022,71546427904.20193,68188840174.66341,69790827555.32951,69179390949.30173
1582416000,69842049747.38081,73900176832.49402,69469860559.79463,72815152981.06197,77457668249.10062
1582502400,72826271163.1108,73949260250.6505,66781625171.091,69166017830.87091,89551988640.65736
1582588800,69063638633.32826,69853208010.89255,63678878948.9825,64941395876.01064,88133857085.41168
1582675200,64897275067.34996,66329827262.15803,56083884996.85165,59241835878.82764,109761009328.10664
1582761600,59086373922.59464,63114502835.25255,56604314864.08231,60509874765.48782,95284625038.93204
1582848000,60240501841.53774,61811495442.7364,56368565417.85899,59409325990.60939,88397148434.45056
1582934400,59518421791.98312,61463099852.88849,57316515689.61297,58195263167.771545,71365806955.66682
1583020800,58460757568.77193,61009889243.10149,56497487376.92369,58110469114.476135,72876648383.08008
1583107200,58152353317.27713,63073139679.155365,57637295847.74141,61769928561.50052,114004157089.05807
1583193600,61718945882.65374,62649524667.66342,59204308070.482346,60893025457.28831,107480205802.80246
1583280000,60939495873.003845,62768454213.23183,58992090107.84161,60845482201.21475,82088726639.62212
1583366400,61013897866.90981,64599079041.76838,60309604540.09886,62507995279.122925,77821573684.98383
1583452800,62580085549.59689,64792368861.17704,61677904197.62843,63986544547.38257,76451080067.14468
1583539200,64049085964.19153,64953005459.533005,60491888789.77253,61294496427.65852,72285140810.50607
1583625600,61249955643.243576,61831699064.1128,52130631119.99396,53225157291.47328,82897831409.32622
1583712000,53406286807.23357,55906133680.76687,50047051773.67834,53554758407.68298,96965629632.57848
1583798400,54110418762.46297,56467902246.75834,52359356410.6297,54446302391.95659,76720230947.25893
1583884800,54255680524.08755,55359460430.61381,50124731775.94707,53388013150.4818,71013716023.98195
1583971200,53262839704.5387,55247143864.24711,31975270433.18737,35287715071.642235,110197644580.94427
1584057600,34774482960.47214,44474954621.64501,27627078994.36711,39744107234.510345,149454025356.47144
1584144000,40903148132.39892,42860156306.240425,36891191685.402855,38065275769.57003,71956413390.71056
1584230400,36625209773.92038,41640018804.10867,35388568541.96175,37729871295.22495,65963483212.30064
1584316800,37852530732.13451,38909259221.81673,31394644722.342648,35153894513.86946,83818485687.45987
1584403200,35496958998.81724,39821155042.64368,34548499750.68549,37294455914.55232,67807553193.41703
1584489600,37182752016.849846,39106871773.04045,34880155808.982254,37906874369.18999,66472171316.87484
1584576000,37805899457.31746,46201690067.37496,36249695057.4134,42536495604.65318,94587677296.86768
1584662400,42647225445.9894,48046258890.23918,37777452032.302986,41615417341.82902,105219317327.41966
1584748800,41662190779.808655,44116556937.92058,39670225529.07203,42035384081.1791,78261967701.77745
1584835200,42190721249.33304,43999006459.69628,38424806455.44968,39368849694.238846,73376185213.18695
1584921600,39291554211.5535,43967188499.7191,38062081163.31749,42457727523.43006,83424497020.57317
1585008000,42572873354.36036,45112074066.12864,41390821513.92668,43592583394.25014,82318695361.2011
1585094400,43509740841.2903,45047521148.04145,41253829821.80022,42947504705.89987,75660376748.54053
1585180800,43029670574.859055,45089849692.14671,41819537402.89758,44535139013.08072,63100301147.232086
1585267200,44922286711.40887,46639534190.48009,41556967743.698456,42749226658.34281,63206417830.72277
1585353600,42787645729.51791,44093976707.3455,40474543062.28492,42799789614.14288,68412950800.43493
1585440000,43065043184.50015,43609427988.5035,40233333122.81856,40712963960.16882,54070633790.70548
1585526400,40683596431.09657,45130304371.88176,39945557618.225,43263682401.675545,67420482702.76366
1585612800,44763015890.04298,46817791475.83231,44010368423.84953,45087454647.53831,60115571975.29028
1585699200,45139068797.18175,46822063978.06989,43015474379.29167,45679528386.19165,69070358070.66562
1585785600,45745841221.705536,49590356434.454765,44642884518.232605,46538277255.69619,83723247094.5903
1585872000,46580800574.67353,48769117676.80623,45496961650.28332,47053789180.43533,70393902870.71014
1585958400,47026988688.6852,48755199884.909454,46054096207.54412,47588611734.08919,60246657134.968414
1586044800,47640962182.457886,48261949816.07543,45909469567.48282,46957144978.05116,55560846030.28481
1586131200,47212206385.93471,52390451032.07938,46829347279.20808,51795910041.16216,89603070472.96329
1586217600,51556681325.04489,53852438264.03748,48938882563.19832,50720407958.37154,88028320383.57782
1586304000,50533964614.921936,54275985106.17527,49925545355.55492,53292927117.372536,80420424639.5811
1586390400,53149294263.08904,54966441211.75768,50961150452.90582,52892818720.53908,70280287336.89233
1586476800,52624966617.10288,53317622331.70159,47465917888.38908,49349312060.71532,84560469403.06447
1586563200,49422885352.07405,50647471120.78552,48220019927.88701,49535573911.54611,63241354085.51684
1586649600,49588352596.80517,52047130049.16283,48396401656.31343,49680793478.66743,68390482976.12245
1586736000,49748110347.30371,50476459574.83559,46918742318.32113,49203395546.54437,76310212481.77936
1586822400,49343690807.22732,50636226642.14212,48216356640.23623,49262900543.56361,65568614690.09192
1586908800,50057473853.80849,51069143728.48075,48020009222.13646,48483406230.09296,63816024033.88557
1586995200,48657769189.05769,54217542657.69287,46993655434.47962,51683479878.044174,94794049285.9659
1587081600,51699670739.75549,52543237463.36252,50368130056.99704,51297445010.5792,67487781830.45273
1587168000,51440287800.45395,54273207754.20374,50869840125.8468,53322924061.333954,72382599196.92722
1587254400,53431992820.28502,54077687731.44031,51134401582.97479,52020123246.33463,71791283671.68436
1587340800,51918504875.00238,53543912890.563126,49016110688.220215,49991717863.949066,84218407753.38412
1587427200,49971169182.17432,51352457171.13233,49261460148.70145,50320476134.82463,67006597483.37691
1587513600,50251741212.10725,52835660278.01021,49733538992.08151,52100850277.970726,69511397204.01337
1587600000,52033621575.61758,55976335941.45029,50429330731.5854,53230687722.29413,84958624613.42683
1587686400,53327127396.50871,55477973102.38692,52493998324.84209,53976973135.24724,71372694268.94821
